Run,Generation,Fitness,Chromosome
10,4967,-8377.131965036859,"[420.8159765528653, 419.52416504851124, 421.04556327299565, 420.8030913217782, 421.1076455225041, 421.4212676028051, 421.56898283672535, 421.128747178945, 420.91450384212305, 424.3993861927919, 420.70926257995416, 421.40098764768834, 420.63834347446993, 420.5317878122826, 420.10838333688434, 421.7900715568128, 422.4707969128958, 421.2785498416723, 421.089259580727, 419.89748854287495]"
11,4416,-8375.565750460551,"[423.25670999193187, 420.4633788135724, 421.06354550105084, 422.884889219388, 421.01787260602055, 420.6474652748768, 421.6195473368233, 424.2038994751779, 421.20574258557315, 421.9138583104399, 420.6540895423939, 422.42626903766825, 421.600165095942, 421.7614278617233, 420.66393868428963, 420.35850393010924, 422.59249130883654, 421.39268136879855, 423.12498560160645, 420.6315539716609]"
12,4943,-8371.990420244421,"[420.987886251119, 420.5408507728256, 421.6183312656465, 420.18411149694634, 422.78176141627034, 422.7806162273164, 419.60693768043745, 421.003368089894, 423.61811577855065, 421.5163667125154, 422.68152319038813, 421.4070778899062, 423.55254438511963, 421.68953038178404, 420.10049996193663, 418.91155801596733, 420.58990754990566, 423.03242278775326, 416.05466364834706, 421.03212181730225]"
13,4772,-8373.977052974498,"[419.72712060078413, 421.52179490809056, 423.8384712159923, 420.4256473006525, 420.98241091111277, 423.3799695063527, 419.1192869686722, 419.00479084686435, 422.50973908624655, 420.82456492739414, 423.20401667480553, 421.8169760026417, 421.0400829859167, 421.41644890044574, 422.69888577459255, 421.2204645703383, 420.6201551554062, 419.5256571895627, 423.5333218059852, 419.7918872487703]"
14,4890,-8372.534579639752,"[420.69899310886444, 419.3554848962609, 420.02296774708543, 421.28093904272794, 421.12820171624764, 420.69095168801664, 422.80890816904184, 421.08817939402445, 418.6308773392667, 422.1009315080348, 420.293755246051, 423.6000524695455, 421.6500379322107, 423.239020064364, 423.97076325596163, 419.7510700603216, 423.4939081874995, 423.8949376834688, 421.2882772509098, 422.9637613273063]"
15,4872,-8366.515618284426,"[420.1199655178564, 421.38981040236615, 416.77018439431026, 420.9356630773674, 418.3147500839143, 417.73177387447936, 419.81892402392396, 420.44667350783686, 423.1530645255001, 416.3894088500866, 425.2326920865597, 421.59407074439207, 422.7277189664296, 420.3846746379869, 421.4240923558418, 419.4518270749303, 420.688875593802, 420.1129161118032, 422.099847911339, 424.7457702185277]"
16,4935,-8377.920871852853,"[420.30268504355195, 420.8758430877235, 421.32187811969266, 421.0405585112235, 419.23650824689366, 422.6660654274947, 421.83527264461657, 421.19922739576486, 421.33727538144126, 421.22687780209606, 423.08757040007333, 421.26038412892694, 420.97726571311193, 421.8277577334371, 421.1070914448594, 420.98796597283217, 420.7495614691044, 420.6625034347869, 420.18132061091296, 420.52268354134765]"
17,4683,-8373.455012660248,"[421.0251255911804, 421.7287205389549, 420.7558240464599, 421.1917536200242, 421.5019368826082, 418.94311637721455, 421.10793157521243, 420.8570630524853, 420.7533951215455, 422.93792171296843, 420.5854989595807, 421.3810166047515, 424.40075260608, 417.0636411842829, 418.43877439740265, 420.4944768149621, 420.1601496346135, 418.9888708471732, 420.926323273549, 422.24548271612684]"
18,4838,-8364.608359956273,"[421.23814548333416, 416.4274648910847, 420.4737789524203, 426.79574835032565, 420.85009294988606, 420.44362044409536, 422.4369806854455, 420.4024223966403, 421.6092294020151, 420.6925882773131, 418.34207826237343, 420.8368027402388, 421.42518910570186, 420.45814603501776, 422.1633286717454, 423.2519389537214, 422.5793684528452, 414.3397015165317, 420.75547419892087, 420.0963989096483]"
19,4989,-8371.563159332685,"[422.8744298950803, 422.71492553570806, 421.4369312622704, 420.7988462513548, 419.38771217246983, 420.995159213556, 423.90537977318763, 418.66596469731155, 421.0619247722467, 420.4469692667092, 421.05484453105066, 419.7383287730505, 421.94158239998615, 419.8726198520012, 425.79573928880325, 422.5529018058709, 417.87709148577653, 421.5991683158753, 421.9298557859106, 421.35886143674566]"
20,4490,-8370.000438662604,"[417.9974700795817, 425.72078584264784, 418.34174375360203, 422.0199389550245, 421.47338549145024, 421.2554552135439, 419.2831732507261, 417.6406580816872, 421.652331298787, 418.46710977855935, 419.28514077519503, 421.04289897802164, 420.97849566314164, 421.575958638746, 419.56405880413195, 423.1966921519943, 418.935819161043, 421.95758367804774, 420.0087978453703, 420.92272828305306]"
21,4654,-8376.530283408129,"[419.78046841541004, 420.12707210946394, 421.5161902407933, 418.7344644216282, 419.592945389488, 421.38011766945544, 421.4042832862817, 421.078206175892, 420.7857395312176, 421.35544832404923, 421.8753498837756, 420.46227028607814, 421.85421676853514, 421.7108718532678, 418.01354831364165, 420.88999303614185, 422.4207103976414, 420.0533711980372, 421.67356854415937, 421.5608338682406]"
22,4981,-8372.920957956363,"[419.38335168264814, 418.6624952975501, 422.37396193494646, 418.46765808581256, 420.8736071608381, 419.4910416230798, 420.0399913190737, 420.85824959909314, 420.986040382836, 420.1867662272575, 420.30553282469145, 419.7449875736836, 421.1701547799046, 418.3158886109901, 421.17898315644436, 419.62404391991174, 420.90178984054035, 416.5634885234964, 420.8478510262871, 422.8214753011092]"
23,4794,-8371.777174597548,"[420.2665999315101, 423.1549859980778, 419.06920784174565, 420.32528432013567, 421.91258946822586, 420.6720102331534, 425.1112817064171, 419.97483771121574, 419.27466430888467, 418.40509240212714, 419.3519224734282, 418.9097182960181, 420.33896881783426, 424.68947623337635, 420.71036021988016, 422.0397833432693, 420.3140434022439, 420.6138168137454, 421.30355325440917, 419.69991506369377]"
24,4787,-8371.507264972814,"[420.94300124996016, 422.61790983263995, 419.1936991333399, 421.1153650520422, 423.6253049485812, 420.8970963408194, 424.8848670488927, 421.5666441522517, 419.2469623044783, 421.17953515596685, 419.6569604323113, 421.05066373608315, 422.11308647493104, 421.90550736614546, 420.87284697202233, 424.74855050015753, 419.972115061207, 424.39074280439354, 419.56226626809166, 420.85472760264406]"
25,4770,-8370.434435033118,"[422.7435788380825, 421.2292732014955, 421.4033533322985, 425.51142379565044, 420.6019677842245, 420.588702189698, 423.6848734502181, 421.2883882685576, 422.24737948757434, 422.0607365330077, 421.14044465692666, 420.7042427696671, 420.07061318139506, 426.69864645957045, 420.8021892257028, 420.04994214312853, 419.58881598670985, 421.46937919712684, 421.90421063893314, 421.855673762214]"
26,4616,-8376.312416621962,"[419.5028069571623, 421.5898933077091, 421.2712477617026, 419.83904867534, 421.617697775285, 421.9043049468802, 419.43764288847535, 423.9179619163915, 421.28581197479514, 421.3770038690567, 421.0694335547287, 421.58122198658623, 421.23073663173466, 423.234526185203, 421.6484553340208, 421.1568452460933, 421.8550995440477, 421.4986498884664, 419.7934722872303, 422.1788100755001]"
27,4879,-8370.018205092822,"[422.0348888479731, 421.04833202511793, 424.9573866408914, 424.7405846908391, 421.90639984993584, 420.09194802584534, 423.12896278539233, 422.45538442300983, 421.41108298516383, 421.6553785884614, 425.4354924976893, 421.3282362569273, 422.07842402809047, 422.6049212317133, 421.62769966256485, 419.96934402374063, 421.8532999947214, 422.2498000083166, 422.71478389894935, 423.2002756472714]"
28,4933,-8376.127226501645,"[422.426857396561, 419.03974952555166, 422.5000594319604, 421.55748037540786, 421.74610967279307, 419.73336842273625, 421.8927076689123, 420.34807058091064, 421.58677961074306, 421.87824553229825, 419.11945384829255, 418.6158591119655, 421.51983155723156, 421.1172929715665, 422.2328622952148, 420.7681381299202, 421.1829786105063, 420.2865046481687, 420.7922839502712, 422.81489247219235]"
29,4998,-8373.11407745626,"[418.61679875847074, 420.34153976156006, 424.5632221489552, 419.9805583978422, 421.7707233695684, 421.2311721962276, 421.0485078845944, 420.0622440267907, 421.94606731642637, 420.0563001034442, 421.1171006913853, 421.80168835188726, 420.817664998386, 421.34335938554307, 420.6492137340862, 420.0652150812631, 419.9198239658474, 416.026004490521, 422.1425405472405, 421.2459763483455]"
