Run,Generation,Fitness,Chromosome
0,407,2.3372996329718583,"[-0.2406169446947164, 0.6166197973113547, 0.6188040114145164, -0.9850680673275862, -0.015136242420440205, -0.006171501703440718, -0.28364040971607896, 0.4040825030025337, -0.5363025026576542, 0.11951369699198633]"
1,421,3.9752804999927873,"[-0.3961228076036205, 0.25710302464355905, -1.289912364001565, 0.3614301634438144, 0.154365063088318, -0.5661118970418322, 0.0843347544562798, -0.15137832617343427, 1.2491050681706808, -0.15217461584805303]"
2,432,5.67668650731483,"[0.7783460528950261, 0.05050747480320794, 0.29843217314145587, -1.360416253326962, 0.38898859842402, -1.3908737249718546, -0.33987013810900635, 0.35104282817426924, 0.8364964623324491, -0.3228123633908284]"
