Run,Generation,Individual,Fitness
0,0,0,106.68813923534834
0,0,1,77.52760042115618
0,0,2,108.00463072045073
0,0,3,82.09680543948105
0,0,4,123.07357527628433
0,0,5,95.13183475627413
0,0,6,54.80487537720349
0,0,7,134.47304958773833
0,0,8,63.68402807738529
0,0,9,126.54723786676847
0,0,10,71.06490312159994
0,0,11,111.02565518399312
0,0,12,47.87488163354507
0,0,13,181.13975146327297
0,0,14,107.9791941188429
0,0,15,129.93982381094136
0,0,16,114.8467643065651
0,0,17,111.87844404856374
0,0,18,66.2464984856646
0,0,19,121.65819483168386
0,1,0,47.87488163354507
0,1,1,38.75146558342191
0,1,2,42.819571673771655
0,1,3,54.7140666979154
0,1,4,64.58838236822251
0,1,5,64.86990887201395
0,1,6,66.85652872198924
0,1,7,72.0308014208021
0,1,8,72.5620167291008
0,1,9,76.93256942781507
0,1,10,80.00650523795548
0,1,11,84.12825983752164
0,1,12,86.79541586527068
0,1,13,89.09860872345817
0,1,14,89.75652818162065
0,1,15,92.97881964894556
0,1,16,96.33545160199176
0,1,17,99.95558282557874
0,1,18,104.71812933952444
0,1,19,108.03989161492852
0,2,0,38.75146558342191
0,2,1,39.000467047510845
0,2,2,46.56494288907728
0,2,3,54.398711183135745
0,2,4,61.361504979874965
0,2,5,69.79402054069122
0,2,6,72.02470118454079
0,2,7,78.24965975544728
0,2,8,78.75691891342585
0,2,9,81.17315422764426
0,2,10,81.38501251094257
0,2,11,83.175787891082
0,2,12,84.77872756895599
0,2,13,86.55365256008983
0,2,14,88.1423234504294
0,2,15,89.66181996820518
0,2,16,94.00648424333521
0,2,17,106.42240078337662
0,2,18,111.5505558588167
0,2,19,119.19470695538554
0,3,0,38.75146558342191
0,3,1,39.59078862450389
0,3,2,43.911505099210224
0,3,3,48.52151703611357
0,3,4,52.16624698613135
0,3,5,54.457646401451385
0,3,6,55.65203193730412
0,3,7,58.67411462077473
0,3,8,58.92033674124871
0,3,9,61.36419601152329
0,3,10,66.6507686990472
0,3,11,66.77202060285246
0,3,12,71.55858230609427
0,3,13,74.79970669917546
0,3,14,75.32851333650802
0,3,15,75.86883243625135
0,3,16,76.05211699034614
0,3,17,76.20345719084604
0,3,18,76.52529372456823
0,3,19,84.13165911844472
0,4,0,38.75146558342191
0,4,1,37.84338233006676
0,4,2,41.02145263599983
0,4,3,41.81770586496184
0,4,4,51.136809578471826
0,4,5,52.463943176575796
0,4,6,52.662885340288184
0,4,7,56.575647524574855
0,4,8,65.64206301450002
0,4,9,65.81259084473056
0,4,10,65.83596057939984
0,4,11,70.04708158174354
0,4,12,71.30358973486852
0,4,13,71.45857225102564
0,4,14,80.47137858023416
0,4,15,83.03395745606343
0,4,16,87.4572824055037
0,4,17,87.86309676661747
0,4,18,91.57754910607538
0,4,19,96.10013622433858
0,5,0,37.84338233006676
0,5,1,32.52766429041113
0,5,2,35.44568021088034
0,5,3,39.59364540513968
0,5,4,40.61425126844696
0,5,5,43.271889809736365
0,5,6,49.45325899412078
0,5,7,53.23015873932157
0,5,8,61.1252026749524
0,5,9,66.1687455945987
0,5,10,67.18522117707421
0,5,11,69.92936585860862
0,5,12,71.19954170755254
0,5,13,72.87949829615576
0,5,14,74.37110370167368
0,5,15,75.45664969079276
0,5,16,77.51453687676202
0,5,17,79.78743439895015
0,5,18,83.3886397107479
0,5,19,94.66915848546604
0,6,0,32.52766429041113
0,6,1,28.10945948728731
0,6,2,33.55762925081312
0,6,3,39.84901785800827
0,6,4,43.27855191638681
0,6,5,48.11820988981636
0,6,6,50.74448580307272
0,6,7,52.31249807591741
0,6,8,53.518567972595086
0,6,9,55.90918889526804
0,6,10,57.42604009264877
0,6,11,57.75718440777403
0,6,12,58.7831683620866
0,6,13,61.7488165584836
0,6,14,68.50311449273975
0,6,15,76.25347013366174
0,6,16,77.61074063867741
0,6,17,82.62897221264545
0,6,18,85.64532684794248
0,6,19,91.56569716369206
0,7,0,28.10945948728731
0,7,1,27.98296974452124
0,7,2,39.203397833572076
0,7,3,47.02190920422035
0,7,4,55.057442762560704
0,7,5,60.258575959928
0,7,6,61.20235254312777
0,7,7,62.49571637587848
0,7,8,65.62113274917878
0,7,9,66.17741873016836
0,7,10,66.59313274252412
0,7,11,76.31454007355453
0,7,12,80.96917718735175
0,7,13,87.7440122246816
0,7,14,88.51845794441044
0,7,15,88.5691536732421
0,7,16,90.68444173596984
0,7,17,92.78260002377931
0,7,18,95.06880248145619
0,7,19,97.83946985682131
0,8,0,27.98296974452124
0,8,1,37.589047480542895
0,8,2,40.807662980970434
0,8,3,43.15163345915765
0,8,4,50.27472766853577
0,8,5,55.67459196990028
