Run,Generation,Fitness,Chromosome
10,3844,-3.0205103488668845,"[-0.3396617227148599, 0.45515989862835093, 0.28118520031678473, -0.4489019415497315, -0.039014480205690746, 0.19847682884338147, -0.2443215845058822, 0.16844821911027327, -0.027209223162193708, -0.20925296411313535, 0.29902916966412846, 0.035096011907378266, 0.10858095785754192, 0.33903353966755423, -0.22024881304693858, -0.2614978862898222, 0.2176583910725996, 0.13872769494882062, 0.10156239232537372, -0.24374429322069752, 1.0175274049846186, 188.66351863588395, 2.5412336326461404, 0.2928140451559321, 0.02042535270749426, 0.04086256953306038, 0.3523613430871221, 0.9279076555056529, 0.0205221569956488, 0.7409058033458612, 1.3694509841209705, 2.2825619131417523, 0.6857581199277922, 0.15909840583101886, 0.0861810336186602, 1.8225497766356025, 7.21362932101016, 3.7765153779369642, 0.6970802050471128, 0.12249041437678834]"
11,4102,-2.922606035862741,"[0.031508548502918066, 0.09380065364387223, -0.23621081756874718, 0.22551763730897306, 0.17575666996604133, 0.39869292505977716, -0.22683867548152598, -0.13177361923849562, -0.14915193390915849, 0.09815143581626351, 0.13866743947624016, -0.061538797881832946, 0.06818124205683923, -0.09613187656186097, 0.3871424584634063, -0.06795712285020389, -0.18331777591936294, -0.2571160578836579, 0.061863812572505304, -0.004818374593466096, 61.34802491086268, 0.005699180766263247, 0.01727125788206426, 0.1228715326948573, 0.5637846850501294, 1.5137399087550354, 0.14834097928097775, 2.2516192741199648, 0.06608212969924494, 0.14096332220460597, 4.533857289032081, 0.017725736904139484, 0.012840034833443988, 0.9974798367925151, 0.009131103705511463, 4.270857193156394, 0.20348684781153392, 177.54661321067906, 0.3367852499095645, 0.46432399453567924]"
12,3663,-3.993889254067595,"[-0.062053719940593936, 0.1217739987755552, -0.0748414782901537, 0.39242168097915, 0.27084085650603285, -0.4649679239551064, -0.09285071211021945, -0.25454989153724017, 0.17316807192907835, 0.010958699009602557, 0.31512537874995666, 0.014849687659138328, -0.25063433649590183, 0.07880107241591436, -0.19191152681306636, -0.08620769977502285, -0.15136933224019708, 0.1525796589296191, -0.09317290692639402, -0.05933233046328962, 0.16679325981936843, 2.309538382381416, 0.58016933353365, 0.7550571254276524, 0.9659767287076534, 0.7387781469828961, 0.7500457982620822, 0.04720957130037314, 6.552482867792359, 0.9762824653039803, 0.057506009793681645, 1.8143238146005465, 0.6293942882174145, 0.5203812525728019, 0.2838208592635714, 0.018474915674629225, 0.8096951656020681, 0.12739990094056175, 0.3066911141083734, 0.21448577106915906]"
13,4580,-4.008708342522528,"[-0.24176129751439823, -0.48866671577493825, -0.04982182573174304, -0.03460976486334526, 0.18720439990812263, 0.06297060468645366, -0.4672655980314545, -0.2219713092827193, -0.28463207167465787, -0.2038409700007106, -0.10467026949281827, 0.15684362988832629, -0.128742749285689, 0.03707622403536716, 0.16333403343570124, -0.23287371316128216, 0.21701346420946666, 0.18644508046274105, -0.05430925731895109, -0.11211950016967248, 0.0628804878219116, 3.399317418594203, 0.340952161286562, 0.004862970365780208, 0.07919795107420195, 3.9375995146387024, 0.503022777543457, 0.1068597168703585, 0.0005480567987177058, 0.22276584035765634, 3.2814776478299117, 0.09750640993447583, 0.22486574701227077, 1.389421492816224, 0.1542030080190722, 0.392332828177531, 1.6691391237937996, 0.0069733481235361005, 0.9745965474631223, 0.02051332394515787]"
14,2759,-3.4719091406820795,"[-0.11950796688604493, 0.2584411988375711, -0.08349486361087655, -0.32278102619316473, 0.3834907864802157, 0.089959617420177, -0.2358727101748474, 0.0312836150495161, 0.05584974584826789, 0.3653574863100795, -0.027593553795297203, 0.3278359715624084, -0.2047138034704542, 0.11847818224396321, -0.12513070599530532, 0.08310311580910246, 0.19004595649679776, -0.06443498475176301, -0.04016848969748943, -0.0003777235075987373, 0.27620170520198456, 0.5852086003867557, 0.591826511969532, 0.03740895887092151, 0.4395484019435509, 4.178624344265048, 0.6948297683176999, 0.3251813197846717, 0.1675282341332571, 0.05742131272026092, 0.01632120846488475, 0.3477059621550108, 40.15702739790579, 0.1347308925341064, 0.3687039712596044, 0.047273579891686436, 0.20676830257498083, 2.2324738896565677, 11.46171275885343, 2.129364321161527]"
15,3888,-3.7040091715095094,"[-0.190506577607115, 0.37408328966989723, 0.3226664621808679, -0.3924798985342042, -0.2721868283732368, -0.1395792682621756, -0.38805382324773335, 0.16979332978584488, -0.1920155440742511, -0.0298236148025075, -0.22815622430506471, 0.0045792738619774565, 0.031094636395997105, 0.09470585623880938, -0.04830012043108082, 0.018067424548992444, -0.16541445196085003, -0.044882446642323354, -0.06450620708538983, 0.09215326317980471, 3.7899465247322337, 0.4545411261678557, 0.11043507076782008, 0.4054540004014267, 0.1102610655136341, 0.9787044906682342, 0.46836280060117597, 0.13939456381742346, 0.07301864988648533, 0.0075593456187999, 1.272237374232512, 0.4371667967148567, 3.074882688106499, 0.011128096984303566, 0.15221226904972887, 0.004025066619618685, 0.20290405123762992, 0.9996143772247367, 0.02312996746764001, 0.24867282429241708]"
16,2057,-3.5908533204705564,"[0.0009592591546047358, 0.1654762032817746, 0.1725766104241055, 0.254600662291444, -0.24335202860328042, 0.013490258917979295, 0.271096567613849, -0.3320520070770863, -0.3079802103568077, 0.03463269736009404, -0.27628173072806217, -0.23140627271908804, -0.04063592957729596, 0.20844585250877512, -0.17125693300153144, 0.30282101989903926, -0.25149978211218255, -0.33279282107331853, -0.2066590426445801, 0.1616221167303634, 0.1288715890684008, 0.01708148665304289, 1.2039336180755331, 0.01855512376837291, 2.469686921976752, 0.8028019103228586, 0.2021073078512293, 5.177037443758369, 0.1529940507655212, 0.3309501194972946, 0.04192959093847942, 0.3329165443695707, 0.5124670159092575, 0.842824880580491, 1.8840164620682849, 0.3758997522994366, 0.005110812415786238, 2.389335566420909, 0.031153213146085802, 0.3904531270653367]"
17,4324,-3.673656926028475,"[0.11202968599678015, -0.4610119271398577, 0.052548041279174534, 0.1304455221609131, 0.327588351225472, 0.45356696124530754, 0.04435296265002276, -0.20644338781616955, -0.24472597257665646, -0.25621888608261173, -0.22180785353883548, -0.14155819620922885, -0.1661373547582239, 0.033773786949492235, -0.34640661204059753, 0.13699805706824683, -0.024013257162190965, 0.03330752556647802, 0.0067941918154670045, 0.2393791426896674, 3.7350462461740186, 0.02158804709578398, 0.10778109860339675, 0.6229745330929304, 0.021333927076010305, 0.338702317440211, 0.027778070235137134, 2.5521295962354085, 4.474143874205776, 0.30370780164226935, 4.449888244204556, 0.3472813189582093, 0.07348998188842516, 0.0639670738094863, 0.006535514936799884, 0.7547546101688823, 1.0325938900653187, 0.353681929394263, 5.01650421829912, 0.35552444049055965]"
18,3901,-3.628916938514759,"[-0.09315168542191547, -0.40213982248754, 0.5079236801810922, -0.1106007677138939, 0.23006738115025654, -0.07390108632372744, -0.19080009425969205, -0.08081582474018999, -0.11731418309024988, -0.13021460122520717, -0.1273431064001289, 0.09523807261821646, -0.06288528397891677, -0.16438846769758453, -0.25293816331419905, 0.11224238105536538, -0.10476310051236527, -0.2807711147229209, 0.2178568723048422, -0.0890781698170453, 0.3738884919534325, 1.5117519661093253, 0.010721212759605197, 0.05054847299625346, 0.46613025533063035, 0.9172658274651329, 0.3481819751962145, 1.747100147850464, 0.31586078276118446, 0.05198253326336336, 0.008270546933582111, 0.11109677325484381, 0.17954760258777755, 0.14418649751180274, 0.003745530924660645, 0.3201815468138652, 6.013214587911379, 0.01660131201494455, 0.1097454034907725, 0.13127389843436715]"
19,4692,-3.627188391214953,"[0.47546595020064486, 0.0505458317329263, 0.060406151715574896, 0.19744927523850025, -0.28471101579461383, 0.03381138495057031, -0.19157596509331376, 0.10309959251905768, -0.20857356685686382, 0.12957547928512717, 0.13018094150126114, -0.11803155904592322, 0.08675933022858295, -0.013454898793231173, 0.26386205988744305, 0.13343942933458955, -0.043426862283401056, -0.23995508718400504, 0.19722555292815402, 0.050965809850221644, 0.17901406054308233, 0.34626309138148487, 0.3082907832582448, 0.027795425126817735, 1.046166128452369, 0.0007987377178400723, 0.3788496474359622, 0.12327848557956142, 1.3333676274110569, 1.446354702854964, 2.3682211683933767, 0.05020246622242539, 1.119699119478404, 0.5199475898661836, 0.31523304215967946, 0.09933600218873072, 0.007687553128910083, 0.6759596316597553, 9.976482015917158, 0.4696022675087262]"
