Run,Generation,Fitness,Chromosome
12,3413,-2.7310432785126446,"[-0.6487800132937087, 0.18079638155336175, -0.17493551857566292, 0.4426180918675868, -0.4069352461250759, -0.47526618468175197, 0.11119710941732186, -0.11179550307243313, -0.04797609190802343, -0.14256190899581278, 0.2906936959903985, 0.1958979013283204, -0.08500767900900064, -0.17272641167338976, 0.2669406704773607, 0.06869786252703225, 0.2073934388245826, 0.05981038355222079, 0.18992465040389184, 0.22053101678777876]"
13,2777,-3.0021467970511098,"[0.3121294274844444, 0.3156122863984472, 0.5170585542942419, 0.12224869578284148, -0.27319409448186316, -0.041791459854029434, 0.1487369294156522, -0.13123264032333903, 0.08778723577296943, 0.1623170698252263, -0.049746164464008036, -0.06382232085143413, 0.3939838396706441, -0.2697557390515981, -0.10787388466432213, 0.22270503187296664, -0.2541046624918317, 0.09712231334065513, 0.10874094949525759, 0.20839701766961105]"
14,1338,-1.941062697566861,"[0.0880550791636201, 0.4424075850034581, -0.2259810412630734, 0.0727751170905635, -0.018275849319704385, -0.17386696085747122, -0.43365518792527613, -0.4171991679841127, -0.060110785219561924, -0.1524526500248704, 0.10132192415650598, 0.07206208811431813, -0.19855878544318917, 0.21175391015877554, -0.34718501807925606, 0.11690525404049423, -0.3297807974734852, -0.02811106831215171, 0.2810147441484321, -0.4458346164385779]"
15,3801,-2.6208924757398178,"[0.4279881530547749, -0.5455831949004255, 0.3929377000610803, -0.02706414426254078, -0.16332950736646978, 0.0030611241251483623, 0.25658399972832835, -0.2773372105429417, -0.032720344553293534, 0.17696604939490723, 0.14147087754944088, -0.10980571399298977, 0.19659766350083285, 0.2637748761621084, -0.031701894523954, -0.2351440575189485, 0.18834372066779448, -0.30309606127129596, 0.2529386986306048, 0.28345805153569925]"
16,2376,-2.773301886728804,"[-0.5618287572513504, -0.317477947424311, 0.0642636734031583, 0.3154600928945501, -0.20819912683986752, -0.2156921844370614, -0.0853861744567066, -0.25002009706675477, -0.027469766047854005, 0.03656099725715256, -0.3434618592080616, 0.01672274877338986, -0.09519590974287762, 0.009389142603005496, -0.2751559789673861, 0.17688914845927828, 0.19871076154794487, 0.062081025045357396, -0.1669018194262637, -0.35391036406038523]"
17,2920,-3.2441846408551864,"[0.08338836724503174, -0.08475753402655073, 0.1179028196437133, 0.3662266584921232, -0.20958785006077396, -0.013270721402673713, 0.39691094951815065, 0.17535883253146234, -0.2547253359726276, 0.17747843354121673, 0.047505159598999036, 0.0064301326030618, -0.011971826254451479, 0.011273265229711393, -0.25881133402637735, -0.15418927993048803, -0.003596125768563052, 0.2320634566599633, -0.2546222966308722, -0.16451202033446655]"
18,807,-2.845311908208667,"[-0.035232376320757375, 0.022047001320243176, -0.05120767056728148, 0.08844228173741175, -0.25188635278252525, -0.189335355453371, -0.10383048728736632, 0.21114515410353452, -0.1887193682849455, -0.25445486928596317, -0.0641766899832854, -0.1100601294917749, -0.047944032022441796, 0.1797114783341689, 0.07317261086390636, -0.2733358343352952, -0.1362562131131353, -0.10897613426032571, -0.004334263251998927, -0.394830277971972]"
19,1403,-3.192436741507075,"[0.3663310106679041, -0.15255907087157627, 0.21232823075199092, 0.41765559422768983, 0.22121473632141742, 0.06586632852127927, -0.12354914511953097, -0.03917219799839211, -0.22188763466568706, 0.1990644959026031, 0.38121732324240165, 0.03302614855450203, -0.24446970412933045, -0.05151415409610571, -0.09226934642429274, -0.052633641382374696, -0.14549470647926532, -0.21740958400629018, -0.36309187273223187, 0.2688488004315366]"
20,2731,-2.7000551883711914,"[-0.7063125349269678, -0.3044047735622485, 0.3255277335923341, 0.1769285726957659, -0.3942688644803851, 0.33496316928005476, 0.10580257276936011, 0.0008533567256492347, 0.09055042512242406, 0.18484620201697943, -0.16787020580381928, -0.3030942774131785, 0.24226180337546244, -0.19030203616260355, 0.0029523306471630484, -0.18321689333615288, -0.08581587794020473, 0.34645355624822716, 0.12803262828072315, -0.08475606960113113]"
21,4573,-2.649192310556652,"[0.39203683061329375, -0.07717574401090976, 0.23409020060288643, -0.13004885779202313, 0.13878009422742332, -0.14594544501330442, -0.017931369413448195, -0.45904352912595614, -0.2868964039605203, 0.23944711385087403, -0.22378712236068288, 0.01824041336843596, -0.06387712668763945, -0.11758798958624772, -0.24174743456574044, 0.02975064066247679, 0.023367151915691053, -0.10495616324380941, 0.22259733053929232, 0.05259949522219931]"
22,1227,-3.4566065240632193,"[0.6053241283291211, -0.08313948768618529, -0.19840706174996137, 0.07504179385165144, 0.04303131776685887, -0.06635315144704701, -0.19656869364659535, 0.1074802358277005, -0.20649945582848694, -0.3073257698390043, -0.2528194051238415, 0.3410593216926787, 0.0020556013579664523, -0.18834386297493722, 0.18293272064774446, -0.09675677418589279, -0.24950046468017262, 0.23131429217309085, 0.2801553441646323, 0.28264477437128344]"
23,1519,-3.083697971083116,"[0.27682086736375733, -0.1190808717908689, 0.047856734130317324, -0.5605999076752792, 0.18843364421763642, -0.2436882684603412, -0.4302941039879221, -0.16451050600396888, 0.058099693529013674, 0.2589543436362016, 0.07793138405359112, -0.26832330863935194, -0.28316867917929955, -0.09469809239821747, 0.11657959339061041, 0.11155632889472789, 0.26538129627348583, -0.06686656963365523, -0.0007511600253098383, 0.05930880170381836]"
24,1378,-2.769716118086703,"[0.5034332089009466, 0.5489568962965012, -0.4767381561553282, -0.21676309474266953, 0.19015166171698605, -0.31044190253144055, -0.16818336540468204, -0.31444719711548685, 0.07918625435070648, 0.42225887055286426, 0.1839522494033372, -0.35061279337129914, -0.33976032791281685, 0.19317010329597206, -0.13684726553390214, -0.20229861485554634, -0.11324143840887668, 0.18357065475231882, 0.1647228574052726, 0.09205883219901145]"
25,1001,-2.5734903421327555,"[-0.038635724460911236, -0.5529792585758986, -0.2589862894134334, -0.42256600560025415, 0.34300952245106564, -0.012252479818511075, -0.12130485193899854, -0.16029329455784058, 0.08492969540352813, -0.222884297759258, 0.24744416838679362, 0.4410378696871142, 0.09677235765908554, 0.15469489355362587, 0.246477725506403, -0.12985282170801238, -0.3344492959720844, -0.12419189188909208, -0.2656017484682911, -0.03621799983709084]"
26,4587,-3.324933063235271,"[-0.1155997066062795, -0.31835970463333296, 0.34861717553227045, 0.34302928313513936, -0.30313850181484436, -0.16113817534642494, 0.3220590691267853, 0.33286642975293557, 0.1015023493652365, 0.07361621359723292, -0.33084665273996683, 0.2835643610585947, 0.11473509415889627, -0.1945530280811476, -0.1336104399691962, -0.2155261617201314, -0.342890513871539, 0.03460934117706338, 0.20390902675941458, 0.02256404225012143]"
27,3575,-2.878839724232292,"[0.3129703847351173, -0.7558300618668988, -0.040204185213905896, -0.018963956490688716, -0.35685834852033393, 0.2962545408830102, -0.08891414153549881, 0.10391807863948466, -0.03542036542797944, -0.24471736926180987, -0.205660402064753, 0.2517786604649137, 0.08919451199753947, -0.016620368317558087, -0.29978981295938156, 0.10511891874141632, -0.09090914183920251, -0.21162601525203262, -0.24892090780359033, -0.15891184541356695]"
28,3909,-3.358238432398654,"[0.02853605937486714, -0.48053887302796716, 0.2287922707931176, -0.022254562737062944, 0.02584789474258864, 0.052273090176963466, 0.18349624489519933, 0.06224050423599503, -0.07379897985381012, -0.16531877077075818, 0.2313026107851135, -0.017756641472078005, -0.34430386589980144, -0.13775811411180916, 0.04363234009565309, -0.18548081018429596, -0.026731529380655594, -0.022098883286972182, -0.061804314376592506, 0.20176239367731608]"
29,1378,-2.7931746295664124,"[-0.08954481468963271, 0.030857367476397446, -0.2155157779737238, -0.22666230144549293, -0.1711536878654405, -0.29800973991672974, -0.2850180031244568, -0.01024403649722938, -0.3154226470786565, 0.06827087634585838, 0.2721875653670969, -0.025193578015312523, -0.039779264877797926, 0.16216919322114332, -0.20142673229063512, 0.2012703604934487, -0.04556437981183059, 0.14586975134742652, -0.3331308116283791, 0.12420700396177597]"
