Run,Generation,Fitness,Chromosome
10,351,1,"[-5.12, -5.0402278355985395, -5.00346728376931, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.070092267567414, -5.12, -5.047699327891124, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -4.240843292392893, 0.48540617014197135, 0.21824584078958817, 0.29284722664737417, 0.415949669209869, 1.8621111577397857, 0.3898842096463666, 6.324159949093262, 2.876902152049209, 0.40320709021917334, 0.24717191876058542, 0.30802190949354386, 0.40063559371485374, 0.6077019168976366, 13.278394684747532, 1.6294788878787847, 2.836255340767679, 52.12672911969394, 0.283671449582382, 0.17655861579938467, 0.004174267239274016]"
11,548,0,"[-5.12, -5.073862830954464, -5.032044609693319, -5.12, -5.087969605321931, -5.047222315084265, -5.12, -5.12, -5.12, -5.12, -5.087963556283675, -5.12, -5.12, -5.12, -5.110773280018182, -5.12, -5.12, -5.12, -5.105034190667141, -5.12, 0.10430130711999132, 0.010013354724226835, 0.007821854463250271, 1.9482452009292843, 0.07856701513161851, 0.2801645070717173, 73.00360667382645, 0.8235999911424997, 4.50296926176276, 0.4090466014656422, 0.01449553965796796, 4.200626474607549, 2.641911986774771, 0.8765793378805175, 0.024062179438626614, 3.333546329416285, 1.2491685293681523, 0.11811731516219874, 0.11179986543047427, 0.342100101040748]"
12,86,0,"[-5.070002843759366, -5.003155756245244, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.03975267503374, -5.006078924585221, -5.12, 0.07608579594847575, 0.12004948776325498, 0.7639280532372039, 1.8820676050063787, 1.4095536492983198, 0.27339730729614675, 0.2649451546865607, 4.266481643976588, 0.2358722620958396, 1.26222882064535, 0.7787511804749895, 1.3448365121087975, 1.8515696539925128, 0.3469526348919203, 5.832404272029338, 0.26976550315410774, 0.9089868864514811, 0.31198276439028394, 0.025735635961239504, 0.7718062934301841]"
13,4959,8,"[-5.12, -5.12, -5.104208613591442, -5.00148880425091, -5.12, -5.12, -5.12, -5.114544787703536, -1.069503831877896, -5.12, -5.12, -5.12, -5.079481449230574, -5.12, -5.109785915697051, -5.12, -5.12, -5.013055013255129, -1.1191578290694097, -5.12, 2.4291554201164973, 0.367388886096347, 0.0004600171971850015, 0.04953989028172275, 10.74736834161438, 2.1544769369226677, 0.31085602170089005, 0.15904994619043092, 0.18551682383006854, 5.548704285097237, 0.7494066552821025, 23.805067843239527, 0.006383618965153591, 0.004393603800765702, 0.009275019231536327, 20.367342033419316, 1.737903493298537, 0.12997521183621474, 0.002493749469805682, 3.8728385990695218]"
14,1126,0,"[-5.12, -5.040903515481048, -5.0609619976234566, -5.079466944945471, -5.12, -5.12, -5.100838511662519, -5.12, -5.12, -5.12, -5.110393759979629, -5.113028014342272, -5.12, -5.12, -5.12, -5.038156097599475, -5.12, -5.0106802080954544, -5.12, -5.079778749118513, 0.8644441135488101, 0.07184210188852595, 0.02521750350617647, 0.45640784702426646, 0.8720224018605787, 0.06329502393011519, 0.0967458919103792, 0.05967116317266196, 0.5882028841412766, 0.2640614724753202, 0.08149341350419266, 0.558147921542794, 0.6762077024804986, 13.250209940041984, 4.538698011103306, 0.0121519363673046, 19.081040350217787, 0.7426366565196303, 0.15204291303389147, 0.013604738227783096]"
15,2986,5,"[-5.12, -5.12, -0.3181348814623532, -5.12, -5.12, -5.12, -5.01037582597448, -5.12, -5.12, -5.12, -5.110773884836013, -5.037777642318632, -5.12, -5.12, -5.12, -5.000794597051723, -5.12, -5.12, -5.12, -5.12, 0.22359368217304565, 0.08011080590368588, 0.005743355309950629, 0.202321747292891, 4.381568769580841, 8.42530710888843, 0.022423407673593583, 6.77602516937015, 0.32767664763749776, 2.084460397515128, 0.13246610493407965, 0.018014335822708033, 1.0608369051269393, 3.407531216780778, 19.88202378819265, 0.6680929295450754, 0.8621922218441237, 0.2529012060272746, 0.41233388087279277, 1.065750113413469]"
16,3945,3,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -2.0170184061038205, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.027632786618873, -5.12, 0.018744482972524203, 0.020134895768814127, 0.009378258969587041, 1.3450214428475922, 0.18531581378778017, 0.3940842868006216, 0.7641426509064455, 0.1949824590239323, 1.1992280745734862, 0.016403604913383902, 0.034344475360503404, 1.902179356798047, 0.01348412690632068, 0.9974832941802603, 0.743846550259044, 0.20112377560265948, 0.4340518610492218, 0.35321632260843944, 0.19124051695287358, 5.822570913508]"
17,3642,0,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.032698877796197, -5.12, -5.12, -5.032641331451509, -5.12, -5.12, -5.091015156231952, -5.12, 2.2018576003541215, 33.80586749786507, 19.826948680272707, 0.256669804346087, 0.5957253293063699, 0.011500890293779233, 1.7644273236368768, 0.5662770502115941, 3.9426011633001785, 0.11224737685329948, 468.93733997537186, 0.06252230632337122, 0.09749733623135318, 0.7085954023824136, 0.33292824189640324, 0.6974422723940116, 1.1998714215835655, 0.015044691776639824, 0.2337468001515866, 9.986143090914322]"
18,1456,2,"[-5.12, -5.12, -5.12, -5.113970503679968, -5.12, -5.12, -5.12, -5.12, -5.12, -5.116325866936613, -5.002014642049826, -5.12, -5.12, -5.12, -3.138542029705021, -5.069348417522657, -5.12, -5.12, -5.045615789958678, -5.12, 3.9104663204363277, 0.0754198702575772, 0.7788029080781548, 1.5307625212039215, 0.5566709270425851, 2.308142245986259, 1.277024680750254, 0.5749232720198224, 0.5486048434580076, 0.011181162510962043, 0.6516251652779081, 0.1991243950334665, 0.951756871274322, 1.0441786618385585, 0.0008709415687510825, 0.08459836382685948, 9.697334864886095, 49.8568876897779, 0.003606761012848182, 0.38313853852189383]"
19,2510,5,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -0.6101161578892215, -5.12, -5.087134762886946, -5.12, -5.12, -5.070823735038935, -5.12, -5.12, -5.0921846166038955, -5.12, -5.12, -5.12, -5.12, -5.12, 0.1114780237741205, 9.213794686923285, 0.09432173117262206, 2.413071152052346, 0.29254198556756567, 0.47210805439228437, 0.0010169696686351988, 0.13895844961544812, 0.017194130472515712, 30.704665344961523, 2.19555801189091, 0.01736424104583989, 3.4336991294559365, 4.98769372456742, 0.0031989993062151744, 0.011316038559560867, 154.99221976058365, 11.37435911525328, 0.9029191213654709, 1.5893902326555105]"
